employee_id,split,lstm_score,true_label
1,train,0.36241170916863125,0
2,train,0.18438091983588087,0
3,train,0.4205956076037265,0
4,train,0.14785132313613417,0
5,train,0.2021557687181336,0
6,train,0.2718848140608409,0
7,train,0.15128871873199615,0
8,train,0.3003673184261006,0
9,train,0.34765813190041434,0
10,train,0.2790182416459716,0
11,train,0.2612889645533825,0
12,train,0.2901691435635245,0
13,train,0.2528879176865722,0
14,train,0.2929999052061191,0
15,train,0.4224352846233628,0
16,train,0.22221652207042153,0
17,train,0.36819879413610623,0
18,train,0.4159182869960037,1
19,train,0.27392068218425464,0
20,train,0.3561861781392624,0
21,train,0.3276214196208957,0
22,train,0.27687230310972083,0
23,train,0.31516098893145245,0
24,train,0.3098155965025427,0
25,train,0.2895215080859331,0
26,train,0.3271554511522559,0
27,train,0.3312650079559498,0
28,train,0.3274254356902539,0
29,train,0.3192760745348672,0
30,train,0.30160951608467923,0
31,train,0.3388880583942952,0
32,train,0.2708525386636085,0
33,train,0.3803543093088269,0
34,train,0.35479743679598125,0
35,train,0.3225187258841374,0
36,train,0.34919473489712427,0
37,train,0.33252531251285017,0
38,train,0.3279801991317959,0
39,train,0.2580828509598219,0
40,train,0.31354832946520167,0
41,train,0.41291747494843306,0
42,train,0.302582703495722,0
43,train,0.5031188800019843,1
44,train,0.33326456785525854,0
45,train,0.3502163700509029,0
46,train,0.2988796429453529,0
47,train,0.40474274689730283,0
48,train,0.31482753495916366,0
49,train,0.31802861374008556,0
50,train,0.19018959803226557,0
51,train,0.36772045243505663,0
52,train,0.26139692495733674,0
53,train,0.3501507360998987,0
54,train,0.3115035482634729,0
55,train,0.3312081130890077,0
56,train,0.45167792616985175,0
57,train,0.48942107525725836,1
58,train,0.19280012385253728,0
59,train,0.3199313213242558,0
60,train,0.20905171397807873,0
61,train,0.2854190082596068,0
62,train,0.33209392100318924,0
63,train,0.24862300430407616,0
64,train,0.392161209190577,0
65,train,0.3395895861530311,0
66,train,0.3473918275238646,0
67,train,0.41370260650901486,1
